gamma_kappa,epsilon_kappa,kappa情景,可行策略数量,最优策略编号,最优策略名称,最优策略TOPSIS得分,S5排序,S5_TOPSIS得分,S4排序,S4_TOPSIS得分,S3排序,S2排序,S5是否第一,S4是否第一,S0平台利润,S1平台利润,S5平台利润,S5相对S0利润差,S5相对S1利润差,S5成本收入比,S5积分成本,S5总活跃度提升,S5续费概率提升,S4平台利润,S4相对S0利润差,S4相对S1利润差,S4续费概率提升,S3平台利润,S2平台利润
0.25,1e-09,"gamma=0.25, epsilon=1e-09",5,S5,高强度综合激励策略,0.5815225175100855,1,0.5815225175100855,2,0.5444110830091792,3,4,True,False,5704606.949204534,6254250.768871706,6027203.698754243,322596.74954970833,-227047.07011746336,0.035056464744362775,671949.9058454214,243154.13251667432,50548.92442581661,6265210.490831383,560603.5416268483,10959.721959676594,48084.32063455634,6275729.509521122,6332835.7223981
0.25,0.0001,"gamma=0.25, epsilon=0.0001",5,S5,高强度综合激励策略,0.5806705165551619,1,0.5806705165551619,2,0.5525084514295736,3,4,True,False,5704606.949204534,5901745.851040603,5682453.544565212,-22153.40463932231,-219292.30647539068,0.03696436002622415,671949.2151970809,243154.13251667432,31393.908216205968,5909380.254428721,204773.30522418674,7634.403388118371,28012.868071096957,5911704.334008465,5969805.056143281
0.25,0.001,"gamma=0.25, epsilon=0.001",5,S5,高强度综合激励策略,0.5778921972710139,1,0.5778921972710139,2,0.5572012877461026,3,4,True,False,5704606.949204534,5861428.770402743,5588154.59444898,-116452.35475555435,-273274.1759537626,0.03752070012466531,671944.5954931019,243154.13251667432,26848.026691900337,5826877.442066443,122270.49286190886,-34551.3283362994,24301.981477723002,5852837.034495189,5907674.636893889
0.25,0.01,"gamma=0.25, epsilon=0.01",5,S5,高强度综合激励策略,0.5884733083506266,1,0.5884733083506266,2,0.5482499427114728,3,4,True,False,5704606.949204534,5821607.790324727,5487662.210486493,-216944.73871804122,-333945.579838234,0.03813029521859722,671884.3588059495,243154.13251667432,21818.02370596598,5732854.847145919,28247.897941384465,-88752.94317880832,19692.325218882615,5778044.550973374,5831032.956137038
0.25,0.05,"gamma=0.25, epsilon=0.05",5,S5,高强度综合激励策略,0.6309181315042547,1,0.6309181315042547,2,0.5713546567318271,3,5,True,False,5704606.949204534,5797751.245158047,5408756.455802083,-295850.4934024513,-388994.7893559644,0.03860907450501417,671556.8166530313,243154.13251667432,18256.956015861237,5663525.895415226,-41081.053789308295,-134225.34974282142,16744.27201526023,5731201.226052472,5782541.023229307
0.5,1e-09,"gamma=0.5, epsilon=1e-09",5,S4,流失召回强化策略,0.5689761734440419,2,0.5601095983293118,1,0.5689761734440419,3,4,False,True,5704606.949204534,6492873.500422527,6351644.233456555,647037.2842520205,-141229.26696597226,0.03343393574611152,671975.0792489175,243154.13251667432,68068.13130559861,6594492.5355971595,889885.5863926252,101619.03517463244,65518.937333300804,6606853.053940229,6666323.974574778
0.5,0.0001,"gamma=0.5, epsilon=0.0001",5,S4,流失召回强化策略,0.6142093601170284,3,0.518100769429374,1,0.6142093601170284,4,2,False,True,5704606.949204534,6076085.139255542,6065872.40652959,361265.45732505526,-10212.732725952752,0.03485637894240431,671975.0484985446,243154.13251667432,51653.50003411106,6287220.041511273,582613.0923067387,211134.9022557307,47718.23821856663,6236684.555093022,6305939.609650521
0.5,0.001,"gamma=0.5, epsilon=0.001",5,S4,流失召回强化策略,0.6061739259482867,2,0.541760706376981,1,0.6061739259482867,4,3,False,True,5704606.949204534,5946150.642500067,5906087.968379378,201481.01917484403,-40062.67412068881,0.03570619274711617,671974.8327916213,243154.13251667432,42184.44267419498,6111342.86419797,406735.9149934361,165192.22169790324,37388.643982421,6039364.705628984,6103888.958020828
0.5,0.01,"gamma=0.5, epsilon=0.01",5,S5,高强度综合激励策略,0.5825275514236129,1,0.5825275514236129,2,0.5451281275891984,3,4,True,False,5704606.949204534,5855664.4091841765,5664839.445096869,-39767.50410766527,-190824.96408730745,0.03706699572150654,671974.4210044253,243154.13251667432,29391.113477324365,5874106.221708604,169499.27250406984,18441.81252442766,25335.542799198643,5861991.774882149,5918839.0602657525
0.5,0.05,"gamma=0.5, epsilon=0.05",5,S5,高强度综合激励策略,0.5863753361050411,1,0.5863753361050411,2,0.5337592448496417,3,4,True,False,5704606.949204534,5812033.763829731,5502002.383723918,-202604.56548061594,-310031.38010581303,0.038045431489159884,671966.2618428455,243154.13251667432,21652.451646519192,5730292.605565336,25685.65636080131,-81741.15826439578,18990.834460213922,5766182.163905776,5818922.372327057
0.75,1e-09,"gamma=0.75, epsilon=1e-09",5,S4,流失召回强化策略,0.5715706817268836,2,0.548422981800579,1,0.5715706817268836,4,3,False,True,5704606.949204534,6624723.886985021,6486779.069450758,782172.1202462241,-137944.8175342623,0.03280171385879935,671975.0052672585,243154.13251667432,75377.69742856661,6734676.001914144,1030069.0527096093,109952.11492912285,72828.39087930237,6759281.667310829,6815717.471155736
0.75,0.0001,"gamma=0.75, epsilon=0.0001",5,S4,流失召回强化策略,0.6278691034124232,4,0.5185987737869908,1,0.6278691034124232,3,2,False,True,5704606.949204534,6277308.802613702,6293973.302401872,589366.3531973381,16664.49978817068,0.03371073236251879,671975.1089226997,243154.13251667432,63624.64333964659,6512285.116438269,807678.1672337344,234976.313824567,59538.03899901711,6458264.606831004,6523247.336645143
0.75,0.001,"gamma=0.75, epsilon=0.001",5,S5,高强度综合激励策略,0.5996487127751737,1,0.5996487127751737,2,0.5848844809123215,4,3,True,False,5704606.949204534,6030477.63542092,6132648.546762781,428041.5975582469,102170.91134186089,0.034513326095586695,671975.0724394894,243154.13251667432,54429.6589196981,6333035.703023898,628428.7538193641,302558.0676029781,48992.91436120307,6237409.38808447,6305870.890383541
0.75,0.01,"gamma=0.75, epsilon=0.01",5,S4,流失召回强化策略,0.5942646862673397,2,0.5539914695133431,1,0.5942646862673397,4,3,False,True,5704606.949204534,5888300.252086176,5836347.040309745,131740.0911052106,-51953.21177643072,0.03608895353602813,671974.819531957,243154.13251667432,36972.91373177946,6014681.163105235,310074.21390070114,126380.91101905983,31057.126031069627,5943587.426593027,6004492.7795299925
0.75,0.05,"gamma=0.75, epsilon=0.05",5,S5,高强度综合激励策略,0.5850721408498114,1,0.5850721408498114,2,0.5461124678678501,3,4,True,False,5704606.949204534,5824629.497646333,5592235.680253346,-112371.26895118784,-232393.81739298627,0.03749700273368494,671974.403854643,243154.13251667432,25013.55144701571,5797073.0945045175,92466.14529998321,-27556.403141815215,21272.498231749363,5800526.511318995,5854221.3128205165
1.0,1e-09,"gamma=1, epsilon=1e-09",5,S4,流失召回强化策略,0.5647560552426165,4,0.544335730527911,1,0.5647560552426165,3,2,False,True,5704606.949204534,6698289.291238241,6539028.278741437,834421.3295369027,-159261.0124968039,0.03256169599483109,671944.4205845327,243154.13251667432,78870.8147688923,6797931.39880593,1093324.449601396,99642.10756768938,76808.04154613255,6839262.334669189,6895174.036295478
1.0,0.0001,"gamma=1, epsilon=0.0001",5,S4,流失召回强化策略,0.6142194605733824,4,0.5028586398272418,1,0.6142194605733824,3,2,False,True,5704606.949204534,6425753.017406253,6416406.546242119,711799.5970375845,-9346.471164134331,0.03312480319876211,671975.1092092429,243154.13251667432,71340.49233881397,6658649.785565732,954042.8363611978,232896.7681594789,67939.43222874413,6619254.358564581,6684271.690451487
1.0,0.001,"gamma=1, epsilon=0.001",5,S5,高强度综合激励策略,0.6103304172860584,1,0.6103304172860584,2,0.5756960236786143,4,3,True,False,5704606.949204534,6123995.701034691,6288288.691227274,583681.7420227397,164292.99019258283,0.033738350812561865,671975.1104386689,243154.13251667432,63083.37474608876,6491209.279983761,786602.3307792265,367213.5789490696,57646.333151087594,6391880.020897038,6464728.009728048
1.0,0.01,"gamma=1, epsilon=0.01",5,S4,流失召回强化策略,0.5945510716797321,2,0.5850697441493297,1,0.5945510716797321,4,3,False,True,5704606.949204534,5919198.089904589,5986704.118025693,282097.1688211588,67506.02812110446,0.03527214995872446,671975.0632393144,243154.13251667432,44362.38825291934,6144339.613821412,439732.66461687814,225141.5239168238,36818.274154464016,6019272.787286874,6085366.99054114
1.0,0.05,"gamma=1, epsilon=0.05",5,S5,高强度综合激励策略,0.5888576196319706,1,0.5888576196319706,2,0.5449148468065058,4,3,True,False,5704606.949204534,5836031.226246506,5677925.395397683,-26681.553806851618,-158105.8308488233,0.036990054978158673,671974.4546427611,243154.13251667432,28433.66136337564,5859145.560109142,154538.61090460792,23114.33386263624,23497.744862021613,5832357.916161729,5888024.435787399
